X,Y,OBJECTID,CRSH_ID,DATE_VAL_Y,DATE_VAL_M,DATE_VAL_1,DATE_VAL_D,DAY_OF_WEE,DAY_OF_W_1,MILT_TIME,CASE_NUM,CRSH_TYPE_,CRASH_TYPE,CRSH_LEVL,PRIMARY_CA,PRIMARY__1,SECONDARY_,SECONDARY1,LATITUDE,LONGITUDE,StreetID
1502882.53023101,535220.810231,6115,1270303,2024,9,September,7,7,Saturday,117,20240908011702,1,Ran off road right,2,11,Crossed centerline/going wrong way,0,None (no unusual conditions),35.209175,-80.664356,
1463585.54898101,547501.493356004,6116,1084227,2021,3,March,21,1,Sunday,1848,20210321184802,13,Other non-collision*,2,0,No contributing circumstance indicated,0, ,35.241031,-80.796639,
1450615.195856,545788.383981004,6117,1257565,2024,5,May,15,4,Wednesday,214,20240515021400,14,Pedestrian,1,33,Unable to determine,0, ,35.235672,-80.839965,
1465358.510856,551109.142106012,6118,1193567,2022,6,June,4,7,Saturday,604,20220604060401,2,Ran off road left,1,11,Crossed centerline/going wrong way,0, ,35.25103,-80.79092,
1483536.67398101,514468.412106007,6119,1125735,2021,11,November,16,3,Tuesday,725,20211116072501,24,"Left turn, different roadways",2,9,Improper turn,0, ,35.151254,-80.727904,
1407209.98773101,570429.517106012,6120,1024712,2020,6,June,9,3,Tuesday,1348,20200609134802,27,Head on,2,19,Failed to yield right of way,0, ,35.301066,-80.986949,
1454503.40960601,540403.523981005,6121,1068611,2020,9,September,6,1,Sunday,339,20200906033900,14,Pedestrian,1,0, ,0, ,35.221076,-80.826614,
1458431.041481,540057.773981005,6122,1262548,2024,7,July,6,7,Saturday,145,20240706014502,14,Pedestrian,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.220324,-80.813444,
1475620.89085601,537388.521481007,6123,1078523,2021,1,January,13,4,Wednesday,1807,20210113180703,30,Angle,1,6,Exceeded authorized speed limit,0, ,35.21384,-80.755738,
1473475.930231,565328.517731011,6124,1213387,2023,5,May,26,6,Friday,1650,20230526165202,14,Pedestrian,2,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.290493,-80.764581,
1466226.57898101,549504.246481001,6125,1135628,2022,3,March,8,3,Tuesday,5,20220308000502,14,Pedestrian,1,20,Inattention,0, ,35.246664,-80.787916,
1439985.24835601,547373.490231007,6126,1096219,2021,5,May,12,4,Wednesday,2306,20210512230600,14,Pedestrian,2,33,Unable to determine,0, ,35.23948,-80.875658,
1425872.55148101,535484.415856004,6127,1125106,2021,11,November,10,4,Wednesday,947,20211110094701,21,"Rear end, slow or stop",1,32,Other*,0, ,35.206077,-80.922143,
1410588.08210601,501721.462731004,6128,1206068,2023,3,March,26,1,Sunday,19,20230326001903,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.112501,-80.971057,
1473170.385856,550341.681481004,6129,1173015,2022,9,September,4,1,Sunday,1746,20220904174602,1,Ran off road right,1,32,Other*,0, ,35.249306,-80.764712,
1421366.090856,577620.657731012,6130,1081506,2021,1,January,22,6,Friday,849,20210122084900,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.32159,-80.939983,
1433216.73523101,552115.65960601,6131,1107947,2021,6,June,8,3,Tuesday,2001,20210608200101,29,"Sideswipe, opposite direction",2,0,No contributing circumstance indicated,0, ,35.252154,-80.898626,
1451580.637106,533834.725856006,6132,1233898,2023,11,November,7,3,Tuesday,1931,20231107193103,24,"Left turn, different roadways",2,4,Disregarded traffic signals,0, ,35.202882,-80.835992,
1475607.809606,525869.970231012,6133,1236948,2023,12,December,2,7,Saturday,1621,20231202162102,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.182195,-80.7551,
1453394.541481,545971.04960601,6134,1205799,2023,3,March,18,7,Saturday,2201,20230318220100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.236315,-80.83067,
1450341.79835601,545588.152731001,6135,1018555,2020,5,May,6,4,Wednesday,1426,20200506142600,28,"Sideswipe, same direction",2,10,Right turn on red,0, ,35.235108,-80.840868,
1481575.29648101,551518.412106007,6136,1010887,2020,2,February,4,3,Tuesday,1331,20200201133102,2,Ran off road left,1,26,"Operated vehicle in erratic, reckless, careless, negligent or aggressive manner",0, ,35.252946,-80.736633,
1478374.746481,550957.59648101,6137,1260691,2024,6,June,18,3,Tuesday,2045,20240618204501,30,Angle,2,30,Alcohol use,0, ,35.251251,-80.747319,
1458817.009606,475340.182106003,6138,1242963,2024,1,January,23,3,Tuesday,707,20240123070701,30,Angle,1,2,Disregarded stop sign,0, ,35.042548,-80.808205,
1451070.22585601,572508.478356004,6139,1077063,2021,2,February,12,6,Friday,44,20210212004404,19,Fixed object,2,20,Inattention,0, ,35.3091,-80.8401,
1426622.56898101,546670.567106009,6140,1197900,2023,1,January,14,7,Saturday,720,20230114072000,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.236847,-80.920357,
1431332.37523101,542610.633356005,6141,1140259,2022,4,April,30,7,Saturday,1616,20220430161600,30,Angle,2,20,Inattention,0, ,35.225943,-80.904326,
1475164.652731,535949.69085601,6142,1245862,2024,2,February,21,4,Wednesday,145,20240210014500,30,Angle,1,4,Disregarded traffic signals,0, ,35.209865,-80.75718,
1429612.61648101,542771.810231,6143,1206012,2023,3,March,25,7,Saturday,1544,20230325154402,26,"Right turn, different roadways",1,34,Unknown,0, ,35.226295,-80.910094,
1484415.310231,533500.003981009,6144,1242147,2024,1,January,16,3,Tuesday,1010,20240116101303,14,Pedestrian,2,8,Failure to reduce speed,0, ,35.203581,-80.726072,
1450800.34460601,545900.342731014,6145,1222631,2023,8,August,8,3,Tuesday,309,20230808030900,19,Fixed object,2,3,Disregarded other traffic signs,0, ,35.235989,-80.839352,
1425274.10960601,547931.421481013,6146,1035617,2020,6,June,17,4,Wednesday,2021,20200614202101,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.240239,-80.924954,
1467157.558356,508690.196481004,6147,1037213,2020,8,August,4,3,Tuesday,2245,20200804225101,21,"Rear end, slow or stop",2,19,Failed to yield right of way,0, ,35.134584,-80.782344,
1480834.28085601,533361.928981006,6148,1249165,2024,3,March,11,2,Monday,2115,20240311211500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.20303,-80.73805,
1414718.840231,555398.691481009,6149,1040487,2020,8,August,22,7,Saturday,1411,20200822141101,27,Head on,2,0,No contributing circumstance indicated,0, ,35.260185,-80.960792,
1495989.00523101,568025.770231009,6150,1035825,2020,5,May,18,2,Monday,1647,20200518164703,3,Ran off road straight ahead,1,2,Disregarded stop sign,0, ,35.298979,-80.6893,
1491179.982106,577830.910231009,6151,1101092,2021,6,June,5,7,Saturday,2040,20210605204203,2,Ran off road left,2,11,Crossed centerline/going wrong way,0, ,35.32569,-80.70598,
1469107.930856,532797.530231014,6152,1267772,2024,8,August,18,1,Sunday,1702,20240818170205,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.200909,-80.777265,
1488829.822106,534780.914606005,6153,1127480,2021,12,December,6,2,Monday,1137,20211206113705,30,Angle,1,20,Inattention,0, ,35.20731,-80.71137,
1408743.76710601,510473.676481009,6154,1163939,2022,6,June,24,6,Friday,2120,20220624212000,30,Angle,2,7,Exceeded safe speed for conditions,0, ,35.136444,-80.977806,
1457920.42523101,550403.423981011,6155,1131320,2022,1,January,19,4,Wednesday,1616,20220119161600,23,"Left turn, same roadway",2,19,Failed to yield right of way,0, ,35.24872,-80.815787,
1461290.02210601,569403.608981013,6156,998949,2020,1,January,25,7,Saturday,8,20200125000802,2,Ran off road left,2,6,Exceeded authorized speed limit,0, ,35.301086,-80.80566,
1473428.06523101,531273.589606002,6157,1069227,2021,1,January,7,5,Thursday,2229,20210107222901,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.196934,-80.762715,
1477472.87648101,573758.365856007,6158,1212227,2023,5,May,17,4,Wednesday,1508,20230517150805,28,"Sideswipe, same direction",2,25,Followed too closely,0, ,35.313846,-80.751687,
1442685.06085601,542105.61273101,6159,2244264,2021,10,October,31,1,Sunday,1447,20211031144701,28,"Sideswipe, same direction",1,12,Improper lane change,0, ,35.225148,-80.866286,
1468350.151481,548797.395231009,6160,1268207,2024,8,August,26,2,Monday,2147,20240826214702,14,Pedestrian,2,34,Unknown,12,Unknown,35.244827,-80.780762,
1438951.868981,517461.720856011,6161,1279981,2024,11,November,20,4,Wednesday,2008,20241120200800,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.157253,-80.877224,
1443368.12710601,542135.002106011,6162,1124031,2021,10,October,31,1,Sunday,1447,20211031144701,28,"Sideswipe, same direction",2,34,Unknown,0, ,35.225264,-80.864001,
1479410.962731,535302.251481012,6163,1256989,2024,5,May,17,6,Friday,1728,20240517172801,14,Pedestrian,2,33,Unable to determine,0, ,35.208292,-80.742928,
1467061.18773101,538292.102106005,6164,1081287,2021,1,January,4,2,Monday,1921,20210104192100,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.215903,-80.784446,
1487559.46898101,581165.770231009,6165,1210476,2023,5,May,4,5,Thursday,550,20230504055001,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.33468,-80.71831,
1413013.29585601,521914.985231012,6166,1051943,2020,10,October,16,6,Friday,1147,20201016114700,30,Angle,2,20,Inattention,0,None (no unusual conditions),35.168108,-80.964285,
1475765.432106,565351.605856001,6167,1196256,2022,12,December,30,6,Friday,2059,20221230205900,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.290668,-80.756911,
1475146.450856,550945.077106014,6168,1221126,2023,7,July,30,1,Sunday,1305,20230730130500,21,"Rear end, slow or stop",2,6,Exceeded authorized speed limit,0, ,35.25106,-80.75813,
1436427.28335601,548083.053356007,6169,1272895,2024,9,September,28,7,Saturday,2255,20240928225500,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.241244,-80.887617,
1410308.70523101,496390.619606003,6170,1121418,2021,10,October,7,5,Thursday,1602,20211007160300,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.097841,-80.971637,
1464784.99960601,567008.762106001,6171,1271275,2024,9,September,18,4,Wednesday,55,20240918005703,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.294681,-80.793803,
1456324.62835601,564861.958356008,6172,1127453,2021,12,December,5,1,Sunday,908,20211205090802,1,Ran off road right,2,30,Alcohol use,0, ,35.28836,-80.82202,
1464550.04898101,558434.805231005,6173,1257470,2024,5,May,24,6,Friday,30,20240524003200,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.271115,-80.794071,
1433670.356481,542022.765231013,6174,1018142,2020,3,March,8,1,Sunday,333,20200308033301,23,"Left turn, same roadway",1,30,Alcohol use,0, ,35.224451,-80.896461,
1432274.682731,513245.055231005,6175,1075495,2021,2,February,6,7,Saturday,2210,20210206221000,1,Ran off road right,2,28,Visibility obstructed,0, ,35.14532,-80.89929,
1408526.92148101,571430.453981012,6176,1144381,2022,6,June,5,1,Sunday,1058,20220605105803,1,Ran off road right,2,33,Unable to determine,0, ,35.303888,-80.982603,
1458549.19210601,535732.33148101,6177,1089084,2021,4,April,12,2,Monday,1602,20210412160202,24,"Left turn, different roadways",2,19,Failed to yield right of way,0, ,35.208447,-80.812784,
1446618.49148101,556878.399606004,6178,1103090,2021,6,June,3,5,Thursday,829,20210603082900,2,Ran off road left,1,0, ,0, ,35.265934,-80.854041,
1448801.430231,494004.590856001,6179,1133410,2022,2,February,11,6,Friday,2350,20220211235600,2,Ran off road left,2,11,Crossed centerline/going wrong way,0, ,35.093318,-80.842819,
1434426.95835601,509347.667106003,6180,1227116,2023,9,September,16,7,Saturday,2354,20230916235401,27,Head on,2,33,Unable to determine,0, ,35.134726,-80.891843,
1484789.05460601,566439.610856012,6181,2244268,2023,4,April,14,6,Friday,700,20230414070001,15,Pedalcyclist,1,19,Failed to yield right of way,0, ,35.294092,-80.726739,
1504754.010231,546636.418356001,6182,1172228,2022,9,September,8,5,Thursday,36,20220903003600,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.240623,-80.65873,
1475874.10835601,546301.354606003,6183,1167265,2022,7,July,25,2,Monday,1344,20220725134400,1,Ran off road right,2,33,Unable to determine,0, ,35.238338,-80.755418,
1460198.72523101,580842.138356,6184,1167657,2022,7,July,28,5,Thursday,2005,20220728200500,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.332455,-80.810016,
1467467.65960601,538253.857106,6185,1240545,2023,12,December,22,6,Friday,1745,20231222174501,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.215818,-80.783083,
1443634.58085601,540990.288356006,6186,2244281,2024,8,August,16,6,Friday,918,20240816091803,14,Pedestrian,1,0, ,0, ,35.222133,-80.863037,
1423319.98710601,503044.968356013,6187,1267548,2024,8,August,20,3,Tuesday,338,20240820033801,23,"Left turn, same roadway",1,34,Unknown,0, ,35.116824,-80.928577,
1466182.30273101,560469.265856013,6188,1092752,2021,1,January,6,4,Wednesday,1754,20210106175400,24,"Left turn, different roadways",1,6,Exceeded authorized speed limit,0, ,35.276785,-80.788726,
1429872.587106,518004.291481003,6189,1162678,2022,6,June,12,1,Sunday,1906,20220612190600,2,Ran off road left,2,7,Exceeded safe speed for conditions,0, ,35.158268,-80.90763,
1469708.56398101,576040.052106008,6190,1280325,2024,12,December,1,1,Sunday,109,20241201010902,27,Head on,2,11,Crossed centerline/going wrong way,0, ,35.319735,-80.777847,
1411545.122731,502062.479606003,6191,1169921,2022,8,August,17,4,Wednesday,921,20220817092101,21,"Rear end, slow or stop",1,8,Failure to reduce speed,0, ,35.11349,-80.96788,
1489310.82773101,581588.69085601,6192,1133494,2022,2,February,12,7,Saturday,2042,20220212204200,29,"Sideswipe, opposite direction",2,33,Unable to determine,0, ,35.335925,-80.712463,
1448649.19148101,491944.625856012,6193,1118874,2021,9,September,12,1,Sunday,2108,20210912210800,24,"Left turn, different roadways",2,20,Inattention,0, ,35.087651,-80.8432,
1425991.45148101,512859.977731004,6194,1130035,2022,1,January,2,1,Sunday,442,20220102044201,14,Pedestrian,2,20,Inattention,0, ,35.14393,-80.92028,
1485451.44148101,511655.67460601,6195,1101271,2021,5,May,5,4,Wednesday,1818,20210505181802,23,"Left turn, same roadway",2,19,Failed to yield right of way,0,None (no unusual conditions),35.143618,-80.721336,
1435517.71773101,538143.941481009,6196,1019436,2020,5,May,11,2,Monday,719,20200511071901,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.213892,-80.890029,
1457183.17273101,539314.731481001,6197,1183909,2022,12,December,1,5,Thursday,34,20221201003400,21,"Rear end, slow or stop",1,6,Exceeded authorized speed limit,0, ,35.21822,-80.817576,
1463952.53710601,566111.248981014,6198,1196408,2023,1,January,1,1,Sunday,218,20230101021800,27,Head on,2,19,Failed to yield right of way,0, ,35.292174,-80.796538,
1459058.62335601,580955.773356006,6199,1084199,2021,3,March,20,7,Saturday,2254,20210321071201,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.33271,-80.813845,
1481688.216481,552648.118981004,6200,1278810,2024,10,October,15,3,Tuesday,1409,20241015140903,23,"Left turn, same roadway",1,6,Exceeded authorized speed limit,0, ,35.256055,-80.736321,
1481285.67523101,546127.884606004,6201,1123888,2021,10,October,30,7,Saturday,426,20211030042602,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.238123,-80.737287,
1426675.73460601,497093.968356013,6202,1269765,2024,9,September,7,7,Saturday,2340,20240907234501,1,Ran off road right,2,33,Unable to determine,0, ,35.100654,-80.916973,
1450488.588981,550025.238356009,6203,1288927,2024,10,October,23,4,Wednesday,1548,20241023154701,20,Parked motor vehicle,2,32,Other*,11,Other*,35.247305,-80.840652,
1444481.88148101,522962.238981009,6204,1084814,2021,3,March,23,3,Tuesday,1509,20210323150903,28,"Sideswipe, same direction",2,33,Unable to determine,0, ,35.17265,-80.85907,
1463523.759606,515977.427106008,6205,1183893,2022,11,November,30,4,Wednesday,540,20221130054002,24,"Left turn, different roadways",1,4,Disregarded traffic signals,0, ,35.154424,-80.794937,
1466300.76648101,580947.353356004,6206,1228611,2023,9,September,16,7,Saturday,2020,20230916202002,24,"Left turn, different roadways",1,30,Alcohol use,0, ,35.333048,-80.789566,
1470178.620856,575215.89335601,6207,1257884,2024,5,May,26,1,Sunday,2034,20240526203401,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.317494,-80.776222,
1407188.668981,504537.087731004,6208,1130622,2022,1,January,9,1,Sunday,158,20220109015801,27,Head on,2,8,Failure to reduce speed,0, ,35.12005,-80.98261,
1461997.48960601,472633.981481001,6209,1096462,2021,5,May,15,7,Saturday,343,20210515034301,1,Ran off road right,2,34,Unknown,0, ,35.035272,-80.797417,
1477501.99210601,569878.998981014,6210,1127611,2021,12,December,7,3,Tuesday,1910,20211207191401,14,Pedestrian,2,20,Inattention,0, ,35.30319,-80.75136,
1468095.06273101,579274.100231007,6211,1123381,2021,10,October,26,3,Tuesday,731,20211026073102,23,"Left turn, same roadway",2,19,Failed to yield right of way,0,None (no unusual conditions),35.32854,-80.78345,
1483021.513356,555498.258981004,6212,1085162,2021,2,February,4,5,Thursday,134,20210204013400,1,Ran off road right,1,30,Alcohol use,0, ,35.263949,-80.732022,
1446590.26710601,559139.070231006,6213,1038797,2020,8,August,13,5,Thursday,2341,20200813234104,24,"Left turn, different roadways",2,30,Alcohol use,0, ,35.272143,-80.854277,
1403316.29835601,508310.149606004,6214,1129076,2021,12,December,21,3,Tuesday,1717,20211221171700,13,Other non-collision*,2,34,Unknown,0, ,35.130202,-80.995811,
1470268.98648101,562802.347731009,6215,1220385,2023,7,July,24,2,Monday,356,20230724035600,14,Pedestrian,2,0,No contributing circumstance indicated,0,None (no unusual conditions),35.283396,-80.775175,
1428758.57710601,520479.868981004,6216,1193593,2022,11,November,25,6,Friday,2100,20221125210100,27,Head on,2,19,Failed to yield right of way,0, ,35.16501,-80.911516,
1482786.930856,576385.64398101,6217,1211642,2023,5,May,12,6,Friday,1230,20230512012702,30,Angle,2,20,Inattention,0, ,35.32132,-80.73403,
1452738.370856,574294.021481007,6218,1211610,2023,5,May,6,7,Saturday,245,20230506024503,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.31409,-80.83462,
1473597.620231,528706.197106004,6219,1129838,2021,12,December,30,5,Thursday,1724,20211230172401,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.189889,-80.761995,
1437586.45585601,510467.357106,6220,1227796,2023,9,September,19,3,Tuesday,1746,20230919174600,27,Head on,1,6,Exceeded authorized speed limit,0, ,35.137967,-80.881348,
1416310.05023101,497825.605231002,6221,1226924,2023,9,September,13,4,Wednesday,2013,20230913201301,24,"Left turn, different roadways",1,34,Unknown,0, ,35.102109,-80.951671,
1439049.792106,555885.023981005,6222,1243404,2024,1,January,10,4,Wednesday,2345,20240110234500,30,Angle,1,6,Exceeded authorized speed limit,0, ,35.262814,-80.87933,
1429626.025231,510651.704606012,6223,1118280,2021,9,September,5,1,Sunday,1327,20210905132700,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.138056,-80.907982,
1484395.370231,559955.552106008,6224,1127442,2021,12,December,5,1,Sunday,113,20211205011302,23,"Left turn, same roadway",2,4,Disregarded traffic signals,0, ,35.27626,-80.72768,
1451934.81273101,547299.335231006,6225,1201634,2023,2,February,14,3,Tuesday,629,20230214062902,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.23989,-80.83564,
1489503.635856,577149.959606007,6226,1213419,2023,5,May,27,7,Saturday,204,20230527020402,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.32374,-80.71156,
1447424.50773101,558940.399606004,6227,1226530,2023,9,September,12,3,Tuesday,407,20230912040700,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.27164,-80.85147,
1438039.75773101,525143.150231004,6228,1144194,2022,5,May,30,2,Monday,745,20220530074503,23,"Left turn, same roadway",1,9,Improper turn,0, ,35.178308,-80.880762,
1480970.638356,522031.913356006,6229,1124265,2021,11,November,2,3,Tuesday,2038,20211102203800,27,Head on,1,11,Crossed centerline/going wrong way,0, ,35.17191,-80.73693,
1475170.42960601,535955.412731007,6230,1164488,2022,7,July,1,6,Friday,538,20220701053801,14,Pedestrian,1,31,Drug use,0, ,35.209881,-80.757161,
1426997.51523101,519280.936481014,6231,1243049,2024,1,January,23,3,Tuesday,2331,20240123233100,27,Head on,2,5,Disregarded road markings,0,None (no unusual conditions),35.161623,-80.91733,
1447734.93710601,555479.42460601,6232,1074566,2021,1,January,29,6,Friday,1542,20210129154200,1,Ran off road right,1,6,Exceeded authorized speed limit,0, ,35.262148,-80.850214,
1473900.71773101,536693.179606006,6233,1092761,2021,4,April,21,4,Wednesday,202,20210421020200,2,Ran off road left,1,6,Exceeded authorized speed limit,0, ,35.211846,-80.761455,
1445976.774606,562297.415856004,6234,1026700,2020,6,June,7,1,Sunday,2252,20200607225300,14,Pedestrian,2,0, ,0, ,35.280788,-80.85653,
1449455.290231,542576.062106013,6235,1214511,2023,6,June,5,2,Monday,707,20230605070702,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.226788,-80.843649,
1473734.43585601,555334.164606005,6236,1255104,2024,4,April,30,3,Tuesday,226,20240430022601,1,Ran off road right,1,14,Overcorrected/oversteered,0, ,35.263049,-80.76312,
1450706.758981,582347.22148101,6237,1131937,2022,1,January,26,4,Wednesday,728,20220126072802,21,"Rear end, slow or stop",2,20,Inattention,0, ,35.33611,-80.84193,
1451179.90773101,482074.122106001,6238,1279631,2024,11,November,25,2,Monday,1807,20241125180701,19,Fixed object,2,32,Other*,0, ,35.060663,-80.834132,
1487532.25585601,523311.92460601,6239,1240391,2023,12,December,28,5,Thursday,1349,20231228134901,1,Ran off road right,2,6,Exceeded authorized speed limit,0, ,35.17574,-80.71505,
1451894.977731,565495.805856004,6240,1001289,2020,2,February,6,5,Thursday,1935,20200206193503,2,Ran off road left,2,7,Exceeded safe speed for conditions,0, ,35.289877,-80.836901,
1452085.00585601,514277.652731001,6241,1216849,2023,6,June,22,5,Thursday,2202,20230622220200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.14918,-80.833095,
1492792.60835601,573873.81523101,6242,1135666,2022,3,March,8,3,Tuesday,1333,20220308133300,14,Pedestrian,1,20,Inattention,0, ,35.314895,-80.700347,
1433898.17898101,550523.910231009,6243,1183910,2022,12,December,1,5,Thursday,113,20221201011301,21,"Rear end, slow or stop",1,6,Exceeded authorized speed limit,0, ,35.247817,-80.896242,
1440561.33335601,486690.484606013,6244,1247723,2024,3,March,4,2,Monday,1302,20240304130205,1,Ran off road right,2,33,Unable to determine,0, ,35.072801,-80.869901,
1469716.39085601,489340.881481007,6245,1115491,2021,8,August,5,5,Thursday,1906,20210805190600,24,"Left turn, different roadways",1,19,Failed to yield right of way,0, ,35.081552,-80.772631,
1455435.448356,552727.310856014,6246,1252766,2024,4,April,15,2,Monday,1514,20240415141001,21,"Rear end, slow or stop",2,0,No contributing circumstance indicated,0, ,35.254979,-80.824252,
1459428.306481,559432.381481007,6247,1083563,2021,3,March,18,5,Thursday,2147,20210318214703,14,Pedestrian,2,0,No contributing circumstance indicated,0, ,35.2736,-80.811289,
1432087.73960601,566301.438356012,6248,1014220,2020,2,February,17,2,Monday,1039,20200217103900,24,"Left turn, different roadways",1,19,Failed to yield right of way,0, ,35.291065,-80.903318,
1424031.97148101,548341.756481007,6249,1123192,2021,10,October,24,1,Sunday,29,20211024002902,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.2413,-80.92914,
1452288.00460601,490306.254606009,6250,1222622,2023,8,August,6,1,Sunday,2209,20230806220902,24,"Left turn, different roadways",1,6,Exceeded authorized speed limit,0, ,35.083335,-80.830937,
1418570.810231,511661.271481007,6251,1227782,2023,9,September,18,2,Monday,1252,20230918125203,1,Ran off road right,1,14,Overcorrected/oversteered,0, ,35.14024,-80.94502,
1481985.81648101,553907.458356008,6252,1135239,2022,3,March,3,5,Thursday,2022,20220303202200,14,Pedestrian,1,0,No contributing circumstance indicated,0, ,35.259529,-80.735398,
